valeur,plateforme,dispositifs,protocoles,facteurs,uri
29_14,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.221
27_24,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.222
7_2,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.223
4_11,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.224
14_39,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.225
16_19,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.226
13_33,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.227
29_15,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.228
26_15,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.229
18_26,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.230
32_19,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.231
16_20,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.232
4_26,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.233
16_23,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.234
4_13,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.235
13_34,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.236
27_26,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.237
14_43,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.238
11_10,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.239
25_11,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.240
32_23,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.241
