combinaisons,nom,nomcourt,nbrepetitions,plateforme,dispositifs,protocoles,uri
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.118'],26_9,119,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.118
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.119'],36_3,120,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.119
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.120'],13_18,121,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.120
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.121'],11_5,122,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.121
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.122'],29_41,123,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.122
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.123'],41_3,124,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.123
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.124'],16_12,125,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.124
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.125'],14_26,126,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.125
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.126'],30_7,127,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.126
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.127'],13_20,128,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.127
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.128'],16_13,129,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.128
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.129'],2_8,130,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.129
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.130'],36_4,131,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.130
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.131'],5_6,132,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.131
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.132'],17_4,133,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.132
